Country,Australia,Belarus,Brazil,Cameroon,Canada,China,Democratic Republic of the Congo,Egypt,France,Germany,Ghana,India,Indonesia,Italy,Kenya,Liberia,Mexico,Nigeria,Philippines,Portugal,Serbia,South Africa,Spain,Thailand,Turkey,Ukraine,United Kingdom of Great Britain and Northern Ireland,United States of America,Zimbabwe
Ghana,1.14,1.06,0.98,0.62,1.11,0.94,0.81,0.60,1.17,1.22,0.00,0.72,1.21,1.00,1.21,0.62,0.87,0.47,0.70,0.94,0.78,0.92,0.99,0.83,0.89,0.71,1.05,0.99,0.49
India,0.68,0.70,0.54,0.57,0.69,0.61,0.53,0.50,0.76,0.78,0.72,0.00,1.09,0.55,1.19,0.94,0.35,0.57,0.44,0.53,0.51,0.54,0.55,0.37,0.39,0.48,0.62,0.55,0.83
Indonesia,1.21,0.95,1.06,1.12,1.16,0.93,1.13,1.25,1.21,1.23,1.21,1.09,0.00,1.01,1.80,1.55,0.99,1.06,1.13,0.99,1.01,1.07,1.19,1.01,0.98,0.91,1.13,1.09,1.13
Italy,0.36,0.68,0.54,0.76,0.31,0.41,0.68,0.81,0.40,0.39,1.00,0.55,1.01,0.00,1.45,1.32,0.38,0.81,0.67,0.24,0.75,0.55,0.34,0.45,0.41,0.59,0.24,0.24,0.94
Kenya,1.57,1.49,1.52,1.20,1.54,1.43,1.13,1.12,1.62,1.62,1.21,1.19,1.80,1.45,0.00,1.18,1.24,1.22,1.04,1.42,1.16,1.46,1.41,1.28,1.31,1.27,1.51,1.44,1.38
Liberia,1.42,1.33,1.22,0.84,1.42,1.27,1.01,0.79,1.48,1.50,0.62,0.94,1.55,1.32,1.18,0.00,1.11,0.81,0.96,1.29,1.01,1.17,1.30,1.05,1.15,0.99,1.35,1.29,0.93
Mexico,0.61,0.62,0.52,0.63,0.57,0.48,0.47,0.64,0.64,0.66,0.87,0.35,0.99,0.38,1.24,1.11,0.00,0.67,0.43,0.40,0.49,0.42,0.51,0.30,0.32,0.41,0.51,0.45,0.87
Nigeria,0.97,0.74,0.82,0.49,0.95,0.71,0.54,0.47,1.03,1.03,0.47,0.57,1.06,0.81,1.22,0.81,0.67,0.00,0.64,0.79,0.54,0.76,0.85,0.58,0.60,0.45,0.87,0.80,0.55
Philippines,0.87,0.76,0.63,0.72,0.83,0.65,0.55,0.50,0.90,0.92,0.70,0.44,1.13,0.67,1.04,0.96,0.43,0.64,0.00,0.58,0.44,0.58,0.67,0.55,0.54,0.57,0.78,0.70,0.84
Portugal,0.45,0.62,0.43,0.76,0.40,0.37,0.70,0.74,0.48,0.50,0.94,0.53,0.99,0.24,1.42,1.29,0.40,0.79,0.58,0.00,0.70,0.47,0.32,0.46,0.46,0.57,0.34,0.32,0.93
Serbia,1.01,0.67,0.73,0.73,0.98,0.70,0.43,0.55,1.06,1.06,0.78,0.51,1.01,0.75,1.16,1.01,0.49,0.54,0.44,0.70,0.00,0.61,0.85,0.57,0.51,0.48,0.91,0.83,0.90
South Africa,0.72,0.68,0.49,0.79,0.70,0.64,0.59,0.65,0.78,0.81,0.92,0.54,1.07,0.55,1.46,1.17,0.42,0.76,0.58,0.47,0.61,0.00,0.63,0.51,0.60,0.56,0.64,0.60,0.92
Spain,0.38,0.80,0.57,0.83,0.32,0.54,0.81,0.79,0.42,0.45,0.99,0.55,1.19,0.34,1.41,1.30,0.51,0.85,0.67,0.32,0.85,0.63,0.00,0.55,0.55,0.73,0.31,0.30,0.96
Thailand,0.59,0.49,0.45,0.43,0.57,0.42,0.55,0.65,0.62,0.63,0.83,0.37,1.01,0.45,1.28,1.05,0.30,0.58,0.55,0.46,0.57,0.51,0.55,0.00,0.31,0.29,0.51,0.43,0.84
Turkey,0.62,0.52,0.53,0.63,0.61,0.41,0.53,0.66,0.67,0.63,0.89,0.39,0.98,0.41,1.31,1.15,0.32,0.60,0.54,0.46,0.51,0.60,0.55,0.31,0.00,0.43,0.53,0.45,0.91
Ukraine,0.77,0.48,0.59,0.38,0.74,0.45,0.49,0.61,0.79,0.81,0.71,0.48,0.91,0.59,1.27,0.99,0.41,0.45,0.57,0.57,0.48,0.56,0.73,0.29,0.43,0.00,0.68,0.61,0.72
United Kingdom of Great Britain and Northern Ireland,0.15,0.73,0.58,0.78,0.15,0.45,0.78,0.85,0.25,0.25,1.05,0.62,1.13,0.24,1.51,1.35,0.51,0.87,0.78,0.34,0.91,0.64,0.31,0.51,0.53,0.68,0.00,0.12,0.96
United States of America,0.22,0.66,0.52,0.73,0.21,0.39,0.73,0.78,0.32,0.32,0.99,0.55,1.09,0.24,1.44,1.29,0.45,0.80,0.70,0.32,0.83,0.60,0.30,0.43,0.45,0.61,0.12,0.00,0.90
Zimbabwe,1.06,1.05,1.03,0.71,1.00,0.90,0.88,0.80,1.09,1.15,0.49,0.83,1.13,0.94,1.38,0.93,0.87,0.55,0.84,0.93,0.90,0.92,0.96,0.84,0.91,0.72,0.96,0.90,0.00
